,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,56,0.8720000386238098,1.0,0.824,1.0,0.84,1.0,0.854,0.9285714285714286,0.838,0.9642857142857143
0,500,56,0.8500000238418579,0.9642857313156128,0.796,1.0,0.82,1.0,0.832,0.9107142857142857,0.818,0.9642857142857143
0,500,56,0.8840000629425049,0.9821429252624512,0.838,1.0,0.864,1.0,0.856,0.9464285714285714,0.856,0.9821428571428571
0,500,56,0.8520000576972961,0.9821429252624512,0.808,1.0,0.828,1.0,0.818,0.9107142857142857,0.82,0.9821428571428571
0,500,56,0.8540000319480896,0.9642857313156128,0.792,1.0,0.832,1.0,0.832,0.875,0.82,0.9821428571428571
0,500,56,0.8880000710487366,0.9821429252624512,0.84,1.0,0.846,1.0,0.858,0.9285714285714286,0.852,1.0
0,500,56,0.8660000562667847,0.9642857313156128,0.828,1.0,0.85,1.0,0.846,0.9642857142857143,0.86,0.9821428571428571
0,500,56,0.8320000171661377,0.9642857313156128,0.79,0.9821428571428571,0.806,1.0,0.824,0.9107142857142857,0.802,0.9821428571428571
0,500,56,0.8560000658035278,0.9821429252624512,0.804,1.0,0.856,1.0,0.842,0.9464285714285714,0.832,1.0
0,500,56,0.8640000224113464,0.9464285969734192,0.808,0.9821428571428571,0.824,1.0,0.834,0.9107142857142857,0.814,1.0
0,500,56,0.8340000510215759,0.9642857313156128,0.78,1.0,0.82,1.0,0.808,0.8035714285714286,0.812,0.9821428571428571
0,500,56,0.8700000643730164,0.9821429252624512,0.804,1.0,0.838,1.0,0.85,0.9464285714285714,0.838,1.0
0,500,56,0.862000048160553,0.9464285969734192,0.818,1.0,0.846,1.0,0.842,0.9464285714285714,0.838,0.9642857142857143
0,500,56,0.8860000371932983,0.9821429252624512,0.826,1.0,0.864,1.0,0.862,0.9107142857142857,0.862,1.0
0,500,56,0.8520000576972961,0.9642857313156128,0.792,0.9821428571428571,0.816,1.0,0.832,0.9285714285714286,0.798,0.9642857142857143
0,500,56,0.8640000224113464,0.9821429252624512,0.822,1.0,0.836,1.0,0.83,0.9107142857142857,0.842,1.0
0,500,56,0.8560000658035278,0.9821429252624512,0.79,1.0,0.836,1.0,0.82,0.9285714285714286,0.834,1.0
0,500,56,0.8320000171661377,0.9464285969734192,0.772,1.0,0.816,1.0,0.812,0.9285714285714286,0.806,1.0
0,500,56,0.8560000658035278,0.9821429252624512,0.786,1.0,0.822,1.0,0.814,0.9285714285714286,0.82,0.9642857142857143
0,500,56,0.8480000495910645,0.9642857313156128,0.77,1.0,0.818,1.0,0.83,0.9285714285714286,0.81,1.0
0,500,56,0.8520000576972961,0.9464285969734192,0.802,1.0,0.818,1.0,0.828,0.9642857142857143,0.826,1.0
0,500,56,0.8380000591278076,0.9821429252624512,0.788,1.0,0.83,1.0,0.828,0.9285714285714286,0.822,0.9821428571428571
0,500,56,0.8680000305175781,0.9821429252624512,0.81,1.0,0.854,1.0,0.84,0.9464285714285714,0.83,0.9464285714285714
0,500,56,0.8580000400543213,0.9821429252624512,0.794,1.0,0.814,1.0,0.828,0.9285714285714286,0.806,1.0
0,500,56,0.8500000238418579,0.9464285969734192,0.794,1.0,0.818,1.0,0.832,0.8928571428571429,0.81,0.9285714285714286
0,500,56,0.8500000238418579,0.9821429252624512,0.798,1.0,0.834,1.0,0.84,0.9285714285714286,0.832,1.0
0,500,56,0.8340000510215759,0.9821429252624512,0.782,1.0,0.806,1.0,0.818,0.9285714285714286,0.796,0.9821428571428571
0,500,56,0.8640000224113464,0.9642857313156128,0.802,1.0,0.84,1.0,0.824,0.9107142857142857,0.826,0.9821428571428571
0,500,56,0.8700000643730164,0.9821429252624512,0.816,1.0,0.846,1.0,0.842,0.9285714285714286,0.838,0.9464285714285714
0,500,56,0.8660000562667847,0.9821429252624512,0.806,1.0,0.846,1.0,0.842,0.9107142857142857,0.832,0.9821428571428571
0,500,56,0.8460000157356262,0.9821429252624512,0.784,0.9821428571428571,0.81,1.0,0.838,0.9107142857142857,0.814,0.9642857142857143
0,500,56,0.8480000495910645,1.0,0.788,1.0,0.814,1.0,0.824,0.875,0.806,1.0
0,500,56,0.8500000238418579,1.0,0.804,1.0,0.83,1.0,0.814,0.8928571428571429,0.82,1.0
0,500,56,0.878000020980835,0.9464285969734192,0.804,1.0,0.846,1.0,0.862,0.9285714285714286,0.85,1.0
0,500,56,0.8600000143051147,1.0,0.794,1.0,0.834,1.0,0.812,0.9642857142857143,0.82,0.9821428571428571
