,num_users,num_servers,fnn_user,fnn_server,random_user,random_server,greedy_user,greedy_server,mcf_user,mcf_server,fuzzy_user,fuzzy_server
0,500,125,0.956000030040741,0.9360000491142273,0.93,0.976,0.95,1.0,0.942,0.64,0.954,0.96
0,500,125,0.9660000205039978,0.9200000166893005,0.958,0.928,0.97,0.968,0.958,0.704,0.97,0.96
0,500,125,0.9660000205039978,0.8880000710487366,0.954,0.936,0.956,0.96,0.94,0.656,0.962,0.936
0,500,125,0.9740000367164612,0.9040000438690186,0.964,0.96,0.974,0.968,0.964,0.656,0.968,0.976
0,500,125,0.9740000367164612,0.9440000653266907,0.938,0.96,0.956,0.968,0.952,0.648,0.958,0.952
0,500,125,0.9740000367164612,0.9520000219345093,0.962,0.976,0.976,0.976,0.958,0.704,0.968,0.928
0,500,125,0.9600000381469727,0.9040000438690186,0.938,0.928,0.96,0.952,0.936,0.648,0.958,0.952
0,500,125,0.9520000219345093,0.9360000491142273,0.938,0.928,0.942,0.952,0.942,0.672,0.954,0.992
0,500,125,0.9540000557899475,0.8800000548362732,0.93,0.952,0.94,0.968,0.926,0.688,0.95,0.92
0,500,125,0.9440000653266907,0.8880000710487366,0.908,0.952,0.93,0.968,0.93,0.672,0.936,0.976
0,500,125,0.9580000638961792,0.9280000329017639,0.952,0.976,0.964,0.976,0.942,0.68,0.968,0.984
0,500,125,0.9540000557899475,0.8880000710487366,0.942,0.952,0.948,0.976,0.934,0.648,0.954,0.928
0,500,125,0.9620000720024109,0.9120000600814819,0.944,0.984,0.96,0.968,0.952,0.68,0.96,0.944
0,500,125,0.9580000638961792,0.9280000329017639,0.938,0.936,0.942,0.992,0.942,0.664,0.942,0.96
0,500,125,0.9660000205039978,0.9120000600814819,0.95,0.92,0.964,0.96,0.95,0.64,0.97,0.928
0,500,125,0.9740000367164612,0.9520000219345093,0.96,0.952,0.964,0.968,0.962,0.624,0.966,0.952
0,500,125,0.9540000557899475,0.9040000438690186,0.928,0.96,0.936,0.96,0.938,0.648,0.932,0.928
0,500,125,0.9620000720024109,0.8880000710487366,0.934,0.928,0.95,0.96,0.928,0.664,0.948,0.936
0,500,125,0.9660000205039978,0.9200000166893005,0.952,0.96,0.958,0.984,0.944,0.656,0.962,0.976
0,500,125,0.9780000448226929,0.9200000166893005,0.966,0.968,0.976,0.984,0.962,0.648,0.978,0.952
0,500,125,0.9480000734329224,0.9440000653266907,0.934,0.968,0.942,0.968,0.942,0.656,0.944,0.952
0,500,125,0.9640000462532043,0.9520000219345093,0.94,0.968,0.958,0.976,0.942,0.688,0.962,0.952
0,500,125,0.9640000462532043,0.9280000329017639,0.952,0.944,0.956,0.984,0.95,0.696,0.964,0.96
0,500,125,0.968000054359436,0.9520000219345093,0.936,0.936,0.954,0.976,0.938,0.664,0.958,0.928
0,500,125,0.9500000476837158,0.8800000548362732,0.918,0.92,0.942,0.952,0.93,0.632,0.94,0.92
0,500,125,0.9540000557899475,0.9200000166893005,0.934,0.944,0.944,0.976,0.932,0.688,0.95,0.952
0,500,125,0.9620000720024109,0.8960000276565552,0.94,0.936,0.958,0.96,0.946,0.68,0.958,0.952
0,500,125,0.9540000557899475,0.9280000329017639,0.944,0.944,0.946,0.96,0.928,0.664,0.946,0.968
0,500,125,0.9800000190734863,0.8960000276565552,0.974,0.968,0.98,0.976,0.974,0.688,0.982,0.96
0,500,125,0.9660000205039978,0.8720000386238098,0.952,0.936,0.96,0.952,0.954,0.68,0.964,0.896
0,500,125,0.9640000462532043,0.9120000600814819,0.928,0.96,0.946,0.968,0.946,0.656,0.942,0.96
0,500,125,0.9500000476837158,0.9120000600814819,0.926,0.936,0.94,0.984,0.934,0.672,0.948,0.912
0,500,125,0.968000054359436,0.8800000548362732,0.94,0.936,0.968,0.984,0.956,0.704,0.964,0.944
0,500,125,0.9660000205039978,0.9280000329017639,0.954,0.992,0.97,0.976,0.944,0.672,0.964,0.952
0,500,125,0.9620000720024109,0.8640000224113464,0.934,0.944,0.948,0.96,0.946,0.648,0.952,0.936
0,500,125,0.9580000638961792,0.9440000653266907,0.934,0.968,0.944,0.968,0.932,0.672,0.946,0.936
0,500,125,0.9620000720024109,0.9120000600814819,0.956,0.96,0.958,0.968,0.954,0.664,0.954,0.944
0,500,125,0.9600000381469727,0.9360000491142273,0.942,0.952,0.96,0.984,0.942,0.672,0.96,0.968
0,500,125,0.9620000720024109,0.8720000386238098,0.942,0.944,0.95,0.984,0.954,0.704,0.95,0.928
0,500,125,0.9600000381469727,0.9440000653266907,0.942,0.976,0.94,0.96,0.952,0.648,0.948,0.96
0,500,125,0.9500000476837158,0.9200000166893005,0.936,0.928,0.942,0.968,0.946,0.672,0.94,0.928
0,500,125,0.9580000638961792,0.8880000710487366,0.93,0.976,0.952,0.984,0.934,0.656,0.952,0.976
0,500,125,0.9520000219345093,0.9120000600814819,0.918,0.912,0.93,0.968,0.926,0.68,0.944,0.952
0,500,125,0.9540000557899475,0.9440000653266907,0.92,0.968,0.936,0.976,0.938,0.688,0.944,0.96
0,500,125,0.9660000205039978,0.8960000276565552,0.952,0.944,0.96,0.968,0.954,0.616,0.962,0.952
0,500,125,0.9620000720024109,0.8720000386238098,0.94,0.936,0.948,0.944,0.932,0.664,0.956,0.936
0,500,125,0.9280000329017639,0.9280000329017639,0.918,0.96,0.926,0.992,0.916,0.672,0.924,0.944
0,500,125,0.9700000286102295,0.9520000219345093,0.954,0.96,0.968,0.968,0.954,0.656,0.968,0.952
0,500,125,0.9480000734329224,0.9200000166893005,0.928,0.976,0.94,0.984,0.932,0.704,0.948,0.928
0,500,125,0.9520000219345093,0.8720000386238098,0.932,0.936,0.952,0.976,0.934,0.68,0.958,0.96
0,500,125,0.9780000448226929,0.9360000491142273,0.956,0.952,0.968,0.968,0.948,0.632,0.972,0.944
0,500,125,0.9620000720024109,0.9120000600814819,0.948,0.976,0.946,0.984,0.95,0.68,0.946,0.992
0,500,125,0.9600000381469727,0.8960000276565552,0.938,0.936,0.952,0.976,0.944,0.656,0.956,0.944
0,500,125,0.9540000557899475,0.9360000491142273,0.934,0.984,0.95,0.984,0.934,0.664,0.946,0.944
0,500,125,0.9480000734329224,0.8800000548362732,0.942,0.928,0.948,0.976,0.936,0.632,0.95,0.952
0,500,125,0.9520000219345093,0.8960000276565552,0.93,0.952,0.93,0.952,0.936,0.68,0.94,0.976
0,500,125,0.9360000491142273,0.8720000386238098,0.904,0.944,0.926,0.952,0.918,0.688,0.93,0.944
0,500,125,0.9780000448226929,0.9120000600814819,0.962,0.912,0.976,0.984,0.968,0.664,0.968,0.912
0,500,125,0.9520000219345093,0.9440000653266907,0.942,0.944,0.948,0.96,0.942,0.68,0.95,0.944
0,500,125,0.968000054359436,0.9360000491142273,0.944,0.944,0.956,1.0,0.956,0.688,0.96,0.968
0,500,125,0.9580000638961792,0.9440000653266907,0.936,0.976,0.946,0.96,0.95,0.64,0.948,0.976
0,500,125,0.9800000190734863,0.8960000276565552,0.962,0.992,0.976,0.976,0.964,0.688,0.97,0.936
0,500,125,0.9520000219345093,0.9360000491142273,0.92,0.952,0.932,0.976,0.936,0.664,0.932,0.952
0,500,125,0.9780000448226929,0.9440000653266907,0.938,0.952,0.96,0.976,0.956,0.664,0.958,0.952
0,500,125,0.9620000720024109,0.9120000600814819,0.946,0.936,0.952,0.976,0.956,0.688,0.954,0.944
0,500,125,0.9720000624656677,0.8960000276565552,0.96,0.936,0.972,0.968,0.958,0.648,0.97,0.952
0,500,125,0.9580000638961792,0.8960000276565552,0.932,0.96,0.948,0.968,0.938,0.68,0.95,0.952
0,500,125,0.956000030040741,0.9120000600814819,0.924,0.96,0.948,0.984,0.948,0.664,0.952,0.952
0,500,125,0.9480000734329224,0.9360000491142273,0.93,0.976,0.944,0.96,0.938,0.672,0.942,0.952
0,500,125,0.956000030040741,0.9280000329017639,0.952,0.968,0.958,0.984,0.956,0.664,0.962,0.952
0,500,125,0.9500000476837158,0.9440000653266907,0.924,0.944,0.934,0.944,0.938,0.68,0.936,0.928
0,500,125,0.9620000720024109,0.9360000491142273,0.956,0.976,0.962,0.968,0.96,0.664,0.964,0.968
0,500,125,0.9380000233650208,0.9280000329017639,0.912,0.92,0.92,0.96,0.924,0.616,0.92,0.976
0,500,125,0.956000030040741,0.9120000600814819,0.94,0.936,0.948,0.976,0.942,0.632,0.948,0.976
0,500,125,0.956000030040741,0.9120000600814819,0.942,0.96,0.956,0.96,0.948,0.688,0.95,0.904
0,500,125,0.968000054359436,0.9520000219345093,0.946,0.976,0.97,0.96,0.948,0.688,0.97,0.952
